year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja
2004,1.033,8.679000854,1.866999984,-4.051000118,15.49300003,63.59600067,1.9,6.638250381,179.3030052,0.76,0.018749953,13.2587502
2005,1.075,10.41200066,2.984999895,-4.843999863,17.84199905,49.99599838,-0.55,7.382250458,168.4539986,-0.353333333,0.371749967,14.39424992
2006,1.084,10.55400085,2.515000105,-3.598999977,18.59399986,13.91499996,-2.04,9.159000456,98.63799953,-2.716666667,1.42050007,16.89825034
2007,1.121,11.66700077,4.096000195,-3.755000114,19.23999977,42.54700089,1.16,9.686250567,156.0589981,-0.853333333,1.957250059,17.41650009
2008,1.069,11.26000023,3.398999929,-4.414999962,19.12299919,20.60700035,-1.08,7.61400032,100.8310032,-1.04,0.125750005,15.10349941
2009,1.083,10.01100063,2.585000038,-5.258999825,17.43700027,43.65999985,2.21,7.033250332,225.0040016,2.206666667,-0.223999933,14.29100037
2010,1.048,10.33300018,2.83100009,-8.140999794,17.83600044,48.19100189,-0.26,6.450250328,172.9799996,0.543333333,-0.810249955,13.71100032
2011,1.089,11.55000019,3.789999962,-5.209000111,19.31200027,38.47499847,1.72,7.349500194,128.0949974,2.096666667,0.174499959,14.52575016
2012,1.12,12.09500027,4.004000187,-5.138000011,20.18700027,19.28100014,-2.01,8.71750024,90.04199982,-2.223333333,0.991750085,16.44400001
2013,1.122,12.31200027,4.604000092,-3.549999952,20.02000046,23.09499931,-0.73,8.994750321,115.4819965,-1.333333333,1.551500067,16.43850017
2014,1.015,9.673000336,3.338999987,-4.303999901,16.00900078,83.2519989,2.98,7.60975039,190.2639961,3.406666667,0.486000002,14.73450017
2015,1.11,10.74500084,3.38499999,-3.305000067,18.1079998,53.22999954,-2.44,8.561750472,133.8730011,-2.15,1.470749974,15.65425014
,,10.43100071,2.256999969,-3.390000105,18.60700035,15.61900043,-2.78,8.572500527,82.49499988,-3.536666667,0.934249997,16.21200013
,,10.72200012,3.142999887,-4.451000214,18.3029995,38.66199875,-1.22,8.572000206,134.4709969,0.353333333,0.90299987,16.24249983
,,10.47800064,2.982000113,-1.856999993,17.97500038,43.40599823,3.63,8.827250481,163.8099985,2.71,1.390500009,16.26525021
,,11.02950001,3.463000059,-5.350999832,18.59600067,35.47399902,1.97,7.231499806,172.5950012,0.86,0.101250053,14.36175048
,,,,,,,-3.54,,,-3.836666667,,
